processor name,	cores,	frequency,	generation	
i9-10980XE,	18,	4.80,	10X-series
i9-10940X,	14,	4.80,	10X-series
i9-10920X,	12,	4.80,	10X-series
i9-10900X,	10,	4.70,	10X-series
i9-9980XE,	18,	4.50,	9X-series
i9-9960X,	16,	4.50,	9X-series
i9-9940X,	14,	4.50,	9X-series
i9-9920X,	12,	4.50,	9X-series
i9-9900X,	10,	4.50,	9X-series
i9-9820X,	10,	4.20,	9X-series
i7-9800X,	8,	4.50,	9X-series
i9-7980XE,	18,	4.20,	7X-series
i9-7960X,	16,	4.20,	7X-series
i9-7940X,	14,	4.30,	7X-series
i9-7920X,	12,	4.30,	7X-series
i9-7900X,	10,	4.30,	7X-series
i7-7820X,	8,	4.50,	7X-series
i7-7800X,	6,	4.00,	7X-series
i7-7740X,	4,	4.50,	7X-series
i5-7640X,	4,	4.20,	7X-series
i7-6950X,	10,	4.00,	6X-series
i7-6850K,	6,	4.00,	6X-series
i7-6800K,	6,	3.80,	6X-series
i7-5960X,	8,	3.50,	5X-series
i7-5930K,	6,	3.70,	5X-series
i7-5820K,	6,	3.60,	5X-series
i7-4960X,	6,	4.00,	4X-series
